<<<<<<< HEAD
purchase_count,car_make,car_model,car_price,car_year,car_type,car_color,number_of_doors,fuel_type,transmission_type
10,Audi,A3,31660,2023,hatchback,White,5,Gasoline,Manual
11,Mercedes-Benz,Vito,28033,2023,van,Gray,3,Diesel,Manual
12,Mercedes-Benz,A Class,41111,2023,hatchback,Black,5,Hybrid,Automatic
35,Audi,A4,19280,2023,sedan,White,3,Gasoline,Manual
30,Audi,A4,32873,2023,sedan,Gray,3,Electric,Manual
6,Audi,A1,26225,2023,sedan,Black,5,Electric,Automatic
32,Audi,A6,18172,2023,combie,Blue,5,Hybrid,Manual
32,Mercedes-Benz,C Class,39078,2023,combie,Silver,3,Electric,Automatic
16,BMW,Series 5,16843,2023,combie,Silver,5,Gasoline,Manual
5,Audi,A1,44153,2023,hatchback,White,5,Hybrid,Automatic
28,BMW,Series 2,34830,2023,coupe,Gray,5,Diesel,Manual
23,Mercedes-Benz,B Class,47788,2023,hatchback,Gray,3,Gasoline,Manual
23,BMW,Series 6,36746,2023,combie,Blue,3,Electric,Automatic
40,Mercedes-Benz,GLS,19626,2023,SUV,Gray,3,Electric,Manual
38,BMW,Series 2,29133,2023,coupe,Gray,3,Electric,Automatic
20,Mercedes-Benz,A Class,15514,2023,hatchback,Black,5,Electric,Manual
47,Mercedes-Benz,GLA,44331,2023,SUV,White,5,Electric,Manual
18,BMW,Series 5,23519,2023,combie,Silver,3,Electric,Automatic
25,Audi,A3,25030,2023,sedan,Silver,3,Gasoline,Automatic
31,Audi,A5,49906,2023,sedan,Red,5,Diesel,Manual
14,BMW,Series 2,28307,2023,coupe,White,5,Electric,Automatic
34,Audi,A4,25369,2023,sedan,Black,5,Hybrid,Automatic
44,Mercedes-Benz,GLC,23763,2023,SUV,White,3,Hybrid,Manual
34,BMW,Series 6,38652,2023,sedan,White,3,Electric,Automatic
48,Audi,A6,37693,2023,combie,Blue,5,Electric,Manual
37,BMW,M5,40719,2023,sedan,Silver,3,Hybrid,Manual
13,BMW,Series 4,49618,2023,coupe,Silver,3,Gasoline,Manual
46,Mercedes-Benz,GLA,20387,2023,SUV,Black,5,Gasoline,Automatic
46,Mercedes-Benz,B Class,13817,2023,hatchback,Red,3,Electric,Automatic
27,Mercedes-Benz,B Class,13317,2023,hatchback,White,3,Gasoline,Automatic
38,BMW,Series 4,27321,2023,coupe,Black,3,Electric,Manual
22,Audi,Q3,21189,2023,SUV,Gray,5,Hybrid,Manual
3,Audi,Q7,16377,2023,SUV,Silver,5,Hybrid,Manual
6,Audi,A7,25914,2023,sedan,Silver,3,Gasoline,Automatic
3,Audi,Q5,13518,2023,SUV,Black,5,Gasoline,Automatic
27,BMW,Series 8,34489,2023,sedan,Blue,5,Electric,Automatic
11,BMW,Series 3,49960,2023,sedan,Blue,3,Electric,Automatic
36,Audi,Q7,43156,2023,SUV,Gray,3,Diesel,Manual
23,Audi,A7,24142,2023,sedan,Black,5,Electric,Manual
5,Mercedes-Benz,C Class,45105,2023,sedan,Blue,3,Gasoline,Manual
1,Mercedes-Benz,C Class,33502,2023,combie,Gray,5,Gasoline,Automatic
26,Audi,A6,47887,2023,combie,White,3,Electric,Automatic
42,BMW,Series 8,40177,2023,coupe,Gray,3,Electric,Manual
48,Audi,A7,46036,2023,sedan,Gray,3,Hybrid,Manual
28,Audi,Q7,25373,2023,SUV,Silver,5,Electric,Automatic
25,Audi,A8,21724,2023,sedan,Red,3,Electric,Manual
25,Audi,Q7,47646,2023,SUV,Red,3,Electric,Manual
7,Mercedes-Benz,GLA,22467,2023,SUV,Gray,3,Diesel,Automatic
50,Audi,A1,44196,2023,sedan,Silver,5,Gasoline,Automatic
39,Mercedes-Benz,E Class,25513,2023,sedan,Blue,5,Electric,Manual
26,Audi,A7,17585,2023,sedan,Gray,3,Electric,Automatic
12,Audi,A7,44964,2023,sedan,Silver,5,Gasoline,Automatic
45,BMW,Series 5,17979,2023,sedan,White,3,Electric,Automatic
8,BMW,Series 4,35031,2023,coupe,Blue,3,Gasoline,Automatic
17,Audi,A1,22726,2023,sedan,White,5,Electric,Manual
2,BMW,Series 3,37650,2023,combie,Blue,5,Electric,Automatic
14,Mercedes-Benz,R Class,31198,2023,minivan,Black,5,Gasoline,Automatic
13,Audi,A3,31577,2023,hatchback,Silver,5,Gasoline,Manual
18,BMW,Series 4,28120,2023,coupe,Silver,5,Electric,Manual
46,Audi,A1,45345,2023,sedan,Blue,3,Hybrid,Manual
9,BMW,M3,27738,2023,sedan,Red,5,Electric,Automatic
32,BMW,M3,30336,2023,sedan,Gray,3,Electric,Automatic
29,Mercedes-Benz,Vito,39476,2023,van,Red,5,Gasoline,Automatic
35,BMW,Series 4,32050,2023,coupe,Silver,5,Electric,Automatic
40,Mercedes-Benz,S Class,45679,2023,sedan,Gray,3,Hybrid,Automatic
33,Audi,A1,45779,2023,sedan,White,3,Electric,Automatic
32,Mercedes-Benz,GLC,21941,2023,SUV,Gray,5,Electric,Automatic
11,Audi,A5,33287,2023,sedan,Gray,5,Electric,Automatic
23,BMW,Series 1,20634,2023,hatchback,Blue,3,Electric,Automatic
16,Mercedes-Benz,B Class,44927,2023,hatchback,Red,5,Diesel,Automatic
20,Mercedes-Benz,GLC,48814,2023,SUV,Black,3,Hybrid,Manual
6,Mercedes-Benz,GLA,31524,2023,SUV,White,3,Electric,Manual
34,Mercedes-Benz,B Class,48555,2023,hatchback,Silver,5,Electric,Manual
39,BMW,Series 7,19200,2023,sedan,Gray,5,Electric,Automatic
15,Mercedes-Benz,Vito,42934,2023,van,White,5,Hybrid,Manual
12,BMW,Series 3,43124,2023,combie,Silver,5,Electric,Automatic
19,Audi,A8,21144,2023,sedan,Black,3,Gasoline,Automatic
3,Audi,A4,38752,2023,sedan,Gray,5,Electric,Automatic
6,Audi,Q7,43262,2023,SUV,Blue,5,Hybrid,Manual
49,Audi,Q7,37926,2023,SUV,Gray,3,Gasoline,Manual
43,Audi,A7,40617,2023,sedan,Gray,5,Gasoline,Automatic
21,BMW,Series 5,44550,2023,combie,Red,3,Gasoline,Automatic
49,BMW,Series 1,22396,2023,hatchback,Red,5,Diesel,Manual
7,Mercedes-Benz,B Class,17871,2023,hatchback,Black,5,Electric,Automatic
42,Mercedes-Benz,B Class,15288,2023,hatchback,Black,3,Gasoline,Automatic
6,Audi,A4,34712,2023,sedan,White,5,Electric,Manual
19,BMW,Series 6,39633,2023,combie,Silver,3,Gasoline,Manual
28,Audi,A7,19939,2023,sedan,Red,5,Electric,Manual
50,Mercedes-Benz,B Class,41217,2023,hatchback,Silver,5,Electric,Manual
50,Audi,A1,28006,2023,hatchback,White,3,Electric,Manual
43,BMW,Series 8,37015,2023,sedan,Blue,3,Electric,Automatic
5,BMW,Series 5,19697,2023,combie,White,5,Electric,Automatic
18,Mercedes-Benz,GLS,21210,2023,SUV,Gray,3,Electric,Automatic
47,Audi,Q5,49303,2023,SUV,Blue,5,Hybrid,Automatic
15,Audi,A7,53565,2023,sedan,White,3,Electric,Automatic
16,BMW,Series 7,45015,2023,sedan,Gray,3,Hybrid,Manual
47,BMW,Series 6,46121,2023,combie,Gray,3,Gasoline,Automatic
26,Audi,Q3,36963,2023,SUV,Silver,3,Hybrid,Manual
40,Audi,Q7,26933,2023,SUV,Black,5,Electric,Automatic
7,Audi,Q5,38886,2023,SUV,Black,5,Gasoline,Manual
38,Audi,A3,16535,2023,sedan,Black,5,Electric,Automatic
39,BMW,Series 4,19206,2023,coupe,White,5,Gasoline,Automatic
50,BMW,Series 3,30429,2023,combie,Red,3,Electric,Manual
15,BMW,Series 4,18366,2023,coupe,Gray,3,Electric,Manual
38,Mercedes-Benz,A Class,41845,2023,hatchback,Black,3,Hybrid,Manual
19,Mercedes-Benz,E Class,48998,2023,sedan,Gray,5,Hybrid,Manual
41,Audi,A5,43308,2023,sedan,Blue,5,Electric,Manual
10,BMW,Series 1,41960,2023,hatchback,Gray,3,Hybrid,Automatic
28,Audi,Q5,22840,2023,SUV,Gray,3,Electric,Manual
4,Mercedes-Benz,C Class,23937,2023,sedan,Gray,3,Gasoline,Automatic
40,Audi,A6,26816,2023,combie,White,5,Hybrid,Manual
16,BMW,M5,31473,2023,sedan,Red,5,Hybrid,Manual
1,BMW,Series 5,13074,2023,combie,Gray,3,Hybrid,Manual
28,BMW,Series 8,16220,2023,coupe,Red,5,Electric,Manual
22,BMW,Series 6,29631,2023,combie,Black,5,Hybrid,Manual
15,Mercedes-Benz,R Class,16001,2023,minivan,Silver,5,Gasoline,Manual
39,Mercedes-Benz,Vito,35577,2023,van,White,5,Electric,Automatic
5,Mercedes-Benz,B Class,38183,2023,hatchback,Blue,5,Electric,Manual
7,BMW,Series 2,47782,2023,coupe,White,3,Electric,Manual
10,Mercedes-Benz,C Class,15406,2023,sedan,Black,3,Electric,Automatic
28,BMW,Series 7,41419,2023,sedan,Gray,5,Hybrid,Manual
13,Mercedes-Benz,R Class,22901,2023,minivan,White,5,Hybrid,Manual
38,Audi,Q7,18213,2023,SUV,Black,3,Electric,Automatic
5,Mercedes-Benz,GLA,18761,2023,SUV,White,3,Electric,Manual
2,BMW,Series 1,23239,2023,hatchback,Blue,3,Electric,Automatic
18,Mercedes-Benz,GLC,44274,2023,SUV,Blue,5,Hybrid,Automatic
47,BMW,Series 7,15721,2023,sedan,Red,3,Gasoline,Manual
37,Audi,Q5,39276,2023,SUV,Red,5,Electric,Automatic
4,Audi,A6,21760,2023,sedan,Silver,5,Hybrid,Automatic
22,BMW,Series 2,19782,2023,coupe,Silver,3,Hybrid,Manual
26,BMW,Series 8,52074,2023,coupe,Silver,3,Electric,Manual
15,Mercedes-Benz,Vito,46068,2023,van,Silver,3,Gasoline,Automatic
2,Audi,A3,21937,2023,sedan,Gray,5,Hybrid,Manual
12,BMW,Series 8,16250,2023,sedan,Gray,3,Electric,Automatic
35,BMW,Series 7,37105,2023,sedan,Red,3,Diesel,Manual
12,Mercedes-Benz,B Class,37491,2023,hatchback,White,5,Electric,Automatic
45,Audi,Q5,15580,2023,SUV,White,3,Hybrid,Manual
29,Audi,A6,30117,2023,combie,Blue,5,Electric,Manual
2,BMW,Series 7,37362,2023,sedan,Blue,5,Diesel,Manual
27,BMW,Series 7,21682,2023,sedan,Black,5,Electric,Manual
16,Mercedes-Benz,B Class,30591,2023,hatchback,White,3,Hybrid,Automatic
11,BMW,Series 4,34509,2023,coupe,White,3,Electric,Automatic
39,Mercedes-Benz,GLS,50620,2023,SUV,White,5,Diesel,Automatic
