purchase_count,car_make,car_model,car_price,car_year,car_type,car_color,number_of_doors,fuel_type,transmission_type
27,BMW,Series 7,16959,2022,sedan,Red,5,Diesel,Manual
24,Audi,A3,33958,2022,sedan,Red,5,Diesel,Automatic
28,Mercedes-Benz,GLA,39250,2022,SUV,Gray,3,Diesel,Automatic
20,BMW,Series 8,16691,2022,sedan,Black,5,Hybrid,Automatic
1,Audi,A1,48443,2022,sedan,White,3,Electric,Manual
28,Audi,A8,20604,2022,sedan,Blue,3,Electric,Automatic
28,Mercedes-Benz,A Class,12932,2022,hatchback,Gray,3,Hybrid,Manual
39,Audi,A8,8649,2022,sedan,Red,5,Gasoline,Automatic
25,BMW,Series 2,12592,2022,coupe,Red,3,Hybrid,Automatic
13,Mercedes-Benz,GLC,27896,2022,SUV,White,3,Hybrid,Manual
29,Mercedes-Benz,GLS,24203,2022,SUV,White,5,Gasoline,Manual
40,Audi,Q7,24941,2022,SUV,Red,3,Diesel,Manual
1,Mercedes-Benz,Vito,17558,2022,van,Black,5,Electric,Manual
38,Audi,Q5,45116,2022,SUV,Red,3,Diesel,Manual
2,Audi,Q3,24284,2022,SUV,Gray,3,Diesel,Automatic
13,Mercedes-Benz,GLS,16691,2022,SUV,Blue,5,Electric,Automatic
36,BMW,M5,40172,2022,sedan,Black,3,Electric,Manual
18,Audi,A6,24663,2022,combie,Red,5,Hybrid,Manual
43,Mercedes-Benz,S Class,37007,2022,sedan,Silver,3,Electric,Automatic
47,Mercedes-Benz,A Class,45651,2022,hatchback,Silver,5,Gasoline,Automatic
18,BMW,Series 1,46484,2022,hatchback,Black,3,Hybrid,Automatic
28,Mercedes-Benz,Vito,40161,2022,van,White,5,Electric,Manual
4,Mercedes-Benz,B Class,30402,2022,hatchback,Silver,3,Gasoline,Automatic
15,BMW,Series 2,22389,2022,coupe,Silver,5,Electric,Manual
12,BMW,Series 7,26828,2022,sedan,White,3,Hybrid,Manual
27,Mercedes-Benz,A Class,27878,2022,hatchback,Black,5,Electric,Manual
40,Mercedes-Benz,E Class,14781,2022,sedan,Silver,5,Diesel,Automatic
12,BMW,Series 1,11542,2022,hatchback,Gray,5,Gasoline,Automatic
41,Audi,A7,18515,2022,sedan,White,5,Diesel,Automatic
42,Audi,Q3,27594,2022,SUV,Red,5,Hybrid,Automatic
8,BMW,Series 5,26867,2022,sedan,Gray,3,Electric,Manual
11,Mercedes-Benz,C Class,35069,2022,sedan,Gray,5,Gasoline,Automatic
35,Mercedes-Benz,A Class,18763,2022,hatchback,Gray,5,Electric,Automatic
47,Mercedes-Benz,GLC,17912,2022,SUV,Blue,5,Electric,Automatic
18,BMW,Series 2,38368,2022,coupe,Red,3,Diesel,Manual
3,Audi,A4,32173,2022,sedan,Silver,5,Electric,Manual
35,Mercedes-Benz,GLC,48153,2022,SUV,Black,3,Hybrid,Manual
36,Audi,Q7,36793,2022,SUV,White,3,Hybrid,Automatic
46,Mercedes-Benz,B Class,42016,2022,hatchback,Blue,5,Hybrid,Manual
35,Mercedes-Benz,Vito,35324,2022,van,Gray,5,Diesel,Manual
38,Audi,A7,24068,2022,sedan,Gray,3,Diesel,Automatic
7,Audi,A7,26023,2022,sedan,Red,3,Hybrid,Automatic
36,Audi,A4,49210,2022,sedan,Black,5,Gasoline,Automatic
16,Mercedes-Benz,E Class,36349,2022,combie,Blue,5,Electric,Automatic
37,BMW,M3,36900,2022,sedan,White,3,Diesel,Manual
23,Mercedes-Benz,B Class,24940,2022,hatchback,Black,3,Gasoline,Automatic
12,Mercedes-Benz,A Class,28435,2022,hatchback,Blue,3,Electric,Automatic
18,Audi,A6,18389,2022,combie,Red,3,Hybrid,Automatic
29,Mercedes-Benz,A Class,33777,2022,hatchback,Blue,5,Diesel,Manual
16,Mercedes-Benz,GLC,25245,2022,SUV,Black,3,Electric,Manual
