purchase_count,car_make,car_model,car_price,car_year,car_type,car_color,number_of_doors,car_condition,fuel_type,transmission_type
11,BMW,3 Series,51142,2024,Truck,Red,3,New,Gasoline,Manual
24,BMW,1 Series,36816,2024,Sedan,Red,3,New,Electric,Manual
13,Mercedes-Benz,A-Class,52856,2024,Truck,Blue,5,New,Gasoline,Automatic
12,BMW,X5,27000,2024,Combie,Gray,3,Used,Diesel,Manual
11,Mercedes-Benz,B-Class,48253,2024,Hatchback,Silver,3,Used,Diesel,Manual
10,Audi,A1,52818,2024,Combie,White,5,New,Hybrid,Manual
47,Audi,A3,27348,2024,Coupe,Black,5,New,Diesel,Manual
47,BMW,6 series,41523,2024,Combie,Silver,3,Used,Gasoline,Manual
22,Audi,A7,30592,2024,Hatchback,White,5,Used,Diesel,Manual
3,Mercedes-Benz,S-Class,43250,2024,Combie,Blue,5,New,Gasoline,Automatic
13,BMW,1 Series,21958,2024,Hatchback,White,3,New,Diesel,Automatic
5,Mercedes-Benz,CLA,17622,2024,SUV,White,5,Used,Diesel,Manual
47,BMW,Ix1,20732,2024,Hatchback,Black,5,New,Diesel,Manual
36,Audi,A1,52359,2024,SUV,Red,5,Used,Gasoline,Automatic
26,Audi,Q7,49619,2024,Sedan,Silver,5,Used,Diesel,Automatic
42,BMW,X1,26181,2024,Truck,Gray,5,Used,Gasoline,Automatic
26,Audi,Q3,17223,2024,Truck,White,5,Used,Gasoline,Automatic
48,Audi,A3,41535,2024,Coupe,Red,5,Used,Electric,Automatic
42,Mercedes-Benz,E-Class,39980,2024,Coupe,Blue,5,Used,Gasoline,Automatic
17,BMW,6 series,18070,2024,Sedan,Silver,5,Used,Electric,Automatic
42,Audi,A1,24918,2024,Coupe,Black,3,New,Gasoline,Manual
21,Audi,Q3,51014,2024,SUV,Gray,5,Used,Electric,Manual
17,Audi,Q3,25329,2024,SUV,Blue,3,Used,Gasoline,Automatic
40,BMW,X1,41310,2024,Hatchback,Blue,3,Used,Gasoline,Automatic
